,PROCESS_DATE,SCID,PORTFOLIO,ESTIMATE_TO_ACTUAL
0,2019-11-21,IS98,VVIF - Total Stock Market Index,0
1,2019-08-08,WQ15,LifeStrategy Growth,0
2,2020-07-23,FO91,VCEP Growth Select,0
3,2019-06-25,MK83,VCEP Total Bond Select,0
4,2020-06-19,ZD97,VCEP Total International Bond Pool Select,0
5,2019-03-12,WQ15,LifeStrategy Growth,0
6,2020-02-03,CX21,VCEP Money Market,0
7,2020-06-10,GI46,Institutional Target Retirement 2050,0
8,2020-09-16,TN68,VCEP Total Bond,0
9,2020-04-06,AZ74,VCEP Total International Bond Pool Standard,0
10,2019-03-21,GI46,Institutional Target Retirement 2050,0
11,2019-10-23,GD89,Institutional Target Retirement 2015,0
12,2020-01-02,MS87,VCEP ESG U.S. Stock Pool Select,0
13,2020-07-22,TP59,VCEP Moderate Growth Select,0
14,2019-10-09,CF14,LifeStrategy Conservative Growth,0
15,2019-06-26,ZM95,VCEP Total US Stock Select,0
16,2020-05-14,WO29,VCEP ESG Global Stock Pool Standard,0
17,2020-09-14,ZZ55,Target Retirement 2050 Trust,0
18,2019-10-01,OK18,VCEP Short-Term Bond,0
19,2020-08-03,WO29,VCEP ESG Global Stock Pool Standard,0
20,2020-04-02,GP48,Institutional Target Retirement Income,0
21,2019-08-23,JI82,Target Retirement 2040 Trust,0
22,2019-10-03,GT42,Diversified Equity,0
23,2019-06-04,AY24,VCEP Short-Term Bond Select,0
24,2019-12-03,JS33,VCEP Balanced Pool Standard,0
25,2020-04-08,ID15,VCEP Income Pool Select,0
26,2020-08-28,MS87,VCEP ESG U.S. Stock Pool Select,0
27,2020-08-20,HB83,VCEP Total US Stock,0
28,2019-11-07,NQ34,VCEP ESG International Stock Pool Standard,0
29,2019-09-04,ZZ55,Target Retirement 2050 Trust,0
30,2019-12-20,WJ68,LifeStrategy Moderate Growth,0
31,2019-12-20,HB83,VCEP Total US Stock,0
32,2019-08-20,RP13,VVIF - Conservative Allocation,0
33,2019-11-11,KC47,VCEP Wellington Pool Standard,0
34,2020-02-28,DT81,Target Retirement 2040,0
35,2020-01-23,GH33,Institutional Target Retirement 2030,0
36,2019-11-26,GF79,Institutional Target Retirement 2025,0
37,2019-11-29,GO52,Institutional Target Retirement 2060,0
38,2019-03-18,IW95,VCEP Pacific Stock,0
39,2019-02-21,BU54,Target Retirement 2035 Trust,0
40,2019-03-05,RV91,Target Retirement Income Trust,0
41,2020-08-20,GH86,Institutional Target Retirement 2040,0
42,2019-02-25,MI13,VCEP Money Market Select,0
43,2020-02-06,GT42,Diversified Equity,0
44,2019-08-01,SC81,Target Retirement 2030,0
45,2019-04-01,GH86,Institutional Target Retirement 2040,0
46,2019-03-27,VG84,Target Retirement 2025,0
47,2019-10-31,GX91,Target Retirement 2060 Trust,0
48,2019-03-19,GV13,Target Retirement 2020 Trust,0
49,2020-09-16,WJ68,LifeStrategy Moderate Growth,0
50,2020-03-26,FF72,VCEP Moderate Growth,0
51,2019-06-24,VX99,VCEP Pacific Stock Select,0
52,2019-05-13,GD89,Institutional Target Retirement 2015,0
53,2019-08-01,NQ34,VCEP ESG International Stock Pool Standard,0
54,2019-12-20,CF48,Target Retirement 2050,0
55,2019-05-08,ZL62,VCEP Total International Stock Select,0
56,2020-09-22,BJ34,Target Retirement 2045 Trust,0
57,2020-04-03,MK83,VCEP Total Bond Select,0
58,2019-06-19,JI82,Target Retirement 2040 Trust,0
59,2019-03-14,PK73,Target Retirement 2045,0
60,2020-01-08,IS98,VVIF - Total Stock Market Index,0
61,2020-09-30,EE12,VCEP Balanced Pool Select,0
