PROCESS_DATE,SCID,PORTFOLIO,ESTIMATE_TO_ACTUAL
2019-11-21,IS98,VVIF - Total Stock Market Index,Your Prediction
2019-08-08,WQ15,LifeStrategy Growth,Your Prediction
2020-07-23,FO91,VCEP Growth Select,Your Prediction
2019-06-25,MK83,VCEP Total Bond Select,Your Prediction
2020-06-19,ZD97,VCEP Total International Bond Pool Select,Your Prediction
2019-03-12,WQ15,LifeStrategy Growth,Your Prediction
2020-02-03,CX21,VCEP Money Market,Your Prediction
2020-06-10,GI46,Institutional Target Retirement 2050,Your Prediction
2020-09-16,TN68,VCEP Total Bond,Your Prediction
2020-04-06,AZ74,VCEP Total International Bond Pool Standard,Your Prediction
2019-03-21,GI46,Institutional Target Retirement 2050,Your Prediction
2019-10-23,GD89,Institutional Target Retirement 2015,Your Prediction
2020-01-02,MS87,VCEP ESG U.S. Stock Pool Select,Your Prediction
2020-07-22,TP59,VCEP Moderate Growth Select,Your Prediction
2019-10-09,CF14,LifeStrategy Conservative Growth,Your Prediction
2019-06-26,ZM95,VCEP Total US Stock Select,Your Prediction
2020-05-14,WO29,VCEP ESG Global Stock Pool Standard,Your Prediction
2020-09-14,ZZ55,Target Retirement 2050 Trust,Your Prediction
2019-10-01,OK18,VCEP Short-Term Bond,Your Prediction
2020-08-03,WO29,VCEP ESG Global Stock Pool Standard,Your Prediction
2020-04-02,GP48,Institutional Target Retirement Income,Your Prediction
2019-08-23,JI82,Target Retirement 2040 Trust,Your Prediction
2019-10-03,GT42,Diversified Equity,Your Prediction
2019-06-04,AY24,VCEP Short-Term Bond Select,Your Prediction
2019-12-03,JS33,VCEP Balanced Pool Standard,Your Prediction
2020-04-08,ID15,VCEP Income Pool Select,Your Prediction
2020-08-28,MS87,VCEP ESG U.S. Stock Pool Select,Your Prediction
2020-08-20,HB83,VCEP Total US Stock,Your Prediction
2019-11-07,NQ34,VCEP ESG International Stock Pool Standard,Your Prediction
2019-09-04,ZZ55,Target Retirement 2050 Trust,Your Prediction
2019-12-20,WJ68,LifeStrategy Moderate Growth,Your Prediction
2019-12-20,HB83,VCEP Total US Stock,Your Prediction
2019-08-20,RP13,VVIF - Conservative Allocation,Your Prediction
2019-11-11,KC47,VCEP Wellington Pool Standard,Your Prediction
2020-02-28,DT81,Target Retirement 2040,Your Prediction
2020-01-23,GH33,Institutional Target Retirement 2030,Your Prediction
2019-11-26,GF79,Institutional Target Retirement 2025,Your Prediction
2019-11-29,GO52,Institutional Target Retirement 2060,Your Prediction
2019-03-18,IW95,VCEP Pacific Stock,Your Prediction
2019-02-21,BU54,Target Retirement 2035 Trust,Your Prediction
2019-03-05,RV91,Target Retirement Income Trust,Your Prediction
2020-08-20,GH86,Institutional Target Retirement 2040,Your Prediction
2019-02-25,MI13,VCEP Money Market Select,Your Prediction
2020-02-06,GT42,Diversified Equity,Your Prediction
2019-08-01,SC81,Target Retirement 2030,Your Prediction
2019-04-01,GH86,Institutional Target Retirement 2040,Your Prediction
2019-03-27,VG84,Target Retirement 2025,Your Prediction
2019-10-31,GX91,Target Retirement 2060 Trust,Your Prediction
2019-03-19,GV13,Target Retirement 2020 Trust,Your Prediction
2020-09-16,WJ68,LifeStrategy Moderate Growth,Your Prediction
2020-03-26,FF72,VCEP Moderate Growth,Your Prediction
2019-06-24,VX99,VCEP Pacific Stock Select,Your Prediction
2019-05-13,GD89,Institutional Target Retirement 2015,Your Prediction
2019-08-01,NQ34,VCEP ESG International Stock Pool Standard,Your Prediction
2019-12-20,CF48,Target Retirement 2050,Your Prediction
2019-05-08,ZL62,VCEP Total International Stock Select,Your Prediction
2020-09-22,BJ34,Target Retirement 2045 Trust,Your Prediction
2020-04-03,MK83,VCEP Total Bond Select,Your Prediction
2019-06-19,JI82,Target Retirement 2040 Trust,Your Prediction
2019-03-14,PK73,Target Retirement 2045,Your Prediction
2020-01-08,IS98,VVIF - Total Stock Market Index,Your Prediction
2020-09-30,EE12,VCEP Balanced Pool Select,Your Prediction
2020-10-02,MS84,VCEP ESG International Stock Pool Select,Your Prediction
2020-10-13,PK73,Target Retirement 2045,Your Prediction
2019-02-26,WJ68,LifeStrategy Moderate Growth,Your Prediction
2020-03-17,RV91,Target Retirement Income Trust,Your Prediction
2020-08-03,BX99,VCEP European Stock Select,Your Prediction
2019-05-29,LF34,VCEP Income Pool Standard,Your Prediction
